DATASET: e2e
EXPERIMENT: post_webnlg

+-----------------------------------------------------------------+
|                        EVALUATION METRICS                       |
+--------------------------------------------+--------------------+
| Metric                                     | Value              |
+--------------------------------------------+--------------------+
| Graph Count                                | 19686              |
| Graphs that produced SEMENTs               | 19686              |
| Graphs w/ SEMENTs coverage                 | 1.0                |
| Graphs that generated text                 | 18204              |
| Graphs w/ text coverage                    | 0.9247180737580006 |
+--------------------------------------------+--------------------+
| Total Node Count                           | 39372              |
| Total Nodes Covered                        | 39372              |
| Total Nodes Included                       | 36650              |
| Total Node Coverage                        | 1.0                |
| Total Node Inclusion                       | 0.9308645738087982 |
+--------------------------------------------+--------------------+
| Total Edge Count                           | 19686              |
| Total Edges Covered                        | 16964              |
| Total Edges Included                       | 16964              |
| Total Edge Coverage                        | 0.8617291476175962 |
| Total Edge Inclusion                       | 0.8617291476175962 |
+--------------------------------------------+--------------------+
| # Semantic Composition Functions Available | 84                 |
| # Semantic Composition Functions Used      | 28                 |
| # Semantic Composition Function Coverage   | 0.3333333333333333 |
+--------------------------------------------+--------------------+

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                               INCOMPLETE GRAPHS                                                                               |
+-----------------------+-----------------------------+-------------------+-------------------+-------+---------------+----------------+-------+---------------+----------------+
| Data Point Name       | Graph Name                  | Generated SEMENT? | # of text results | Nodes | Node Coverage | Node Inclusion | Edges | Edge Coverage | Edge Inclusion |
| e2e_E2E_dev_1227_3945 | e2e_E2E_dev_1227_3945_17344 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1228_3372 | e2e_E2E_dev_1228_3372_13906 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1229_3188 | e2e_E2E_dev_1229_3188_12802 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_122_3057  | e2e_E2E_dev_122_3057_12132  | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1233_3255 | e2e_E2E_dev_1233_3255_13204 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1234_3589 | e2e_E2E_dev_1234_3589_15208 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1236_3793 | e2e_E2E_dev_1236_3793_16432 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1237_3640 | e2e_E2E_dev_1237_3640_15514 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1238_3530 | e2e_E2E_dev_1238_3530_14854 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1239_2166 | e2e_E2E_dev_1239_2166_7677  | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_123_2896  | e2e_E2E_dev_123_2896_11327  | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1240_3665 | e2e_E2E_dev_1240_3665_15664 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1241_3760 | e2e_E2E_dev_1241_3760_16234 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1243_3504 | e2e_E2E_dev_1243_3504_14698 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1244_1039 | e2e_E2E_dev_1244_1039_2665  | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1247_4046 | e2e_E2E_dev_1247_4046_17950 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1248_3276 | e2e_E2E_dev_1248_3276_13330 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_124_2777  | e2e_E2E_dev_124_2777_10732  | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1251_4054 | e2e_E2E_dev_1251_4054_17998 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1252_3229 | e2e_E2E_dev_1252_3229_13048 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1253_3346 | e2e_E2E_dev_1253_3346_13750 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1254_2228 | e2e_E2E_dev_1254_2228_7987  | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1255_2260 | e2e_E2E_dev_1255_2260_8147  | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1258_2113 | e2e_E2E_dev_1258_2113_7412  | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1259_3572 | e2e_E2E_dev_1259_3572_15106 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_125_2421  | e2e_E2E_dev_125_2421_8952   | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1260_3634 | e2e_E2E_dev_1260_3634_15478 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1261_2735 | e2e_E2E_dev_1261_2735_10522 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1262_3406 | e2e_E2E_dev_1262_3406_14110 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1264_1797 | e2e_E2E_dev_1264_1797_5832  | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1265_1904 | e2e_E2E_dev_1265_1904_6367  | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1267_3975 | e2e_E2E_dev_1267_3975_17524 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1268_3206 | e2e_E2E_dev_1268_3206_12910 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_126_2341  | e2e_E2E_dev_126_2341_8552   | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1270_2975 | e2e_E2E_dev_1270_2975_11722 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1271_3954 | e2e_E2E_dev_1271_3954_17398 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1272_3240 | e2e_E2E_dev_1272_3240_13114 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1273_3333 | e2e_E2E_dev_1273_3333_13672 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1274_2051 | e2e_E2E_dev_1274_2051_7102  | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1275_3602 | e2e_E2E_dev_1275_3602_15286 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1276_3651 | e2e_E2E_dev_1276_3651_15580 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1277_3776 | e2e_E2E_dev_1277_3776_16330 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1278_3436 | e2e_E2E_dev_1278_3436_14290 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1279_3550 | e2e_E2E_dev_1279_3550_14974 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1280_3525 | e2e_E2E_dev_1280_3525_14824 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
| e2e_E2E_dev_1282_2640 | e2e_E2E_dev_1282_2640_10047 | True              | 6                 | 2     | 1.0           | 0.5            | 1     | 0.0           | 0.0            |
